Target,calories,sodium,protein,total carbs,fiber carbs,net carbs,sugar carbs
kroger hard cooked peeled eggs,70,60,6,0,0,0,0
simple truth hard cooked peeled eggs,60,60,6,0,0,0,0
kroger cobb salad,280,740,15,5,2,3,2
starkist solid white albacore tuna - in water,90,280,19,0,0,0,0
walmart cobb salad with turkey and bacon,320,590,13,5,1,4,4
lemon pepper tuna creation,80,340,17,1,0,1,0
mini babybel original cheese,70,160,5,0,0,0,0
starkist chunk light tuna - in water,70,320,16,0,0,0,0
jalapeno tuna creation,70,400,14,1,0,1,0
ranch tuna creation,70,360,15,1,0,1,0
happi southwestern style chicken bowl,270,780,25,7,3,4,3
atkins bacon cheddar cauliflower bites (.5 container),240,715,14,11,7,4,1
blue diamond almond (24 nuts),170,0,6,7,4,3,1
walmart blt salad with turkey and bacon,330,770,15,7,1,6,4
herb & garlic tuna creation,110,390,16,2,0,2,1
cottage cheese (4 srv),110,390,13,4,0,4,4
oscar mayer black forest uncured ham slices,50,500,9,0,0,0,0
happi chicken alfredo bowl,320,860,26,11,4,7,5
small mild heb guacamole (8 srv),40,0,1,2,2,0,0
kroger blt salad with chicken (no dressing),224,400,14,8,2,6,0
happi beef shepherd's pie,260,930,19,11,4,7,3
jimmy dean delights frittatas / bacon spinach,250,710,13,9,2,7,3
jimmy dean delights eggwich / ham mushroom,240,720,15,8,1,7,3
kroger blt salad with chicken,270,820,15,10,2,8,3
miracle whip (1 Tbsp),50,105,0,2,0,2,1
oscar mayer cracked black pepper turkey slices (5),50,500,9,2,0,2,1
kraft singles american cheese (2%),45,220,4,2,0,2,2
sargento balanced breaks (nuts and cheese),190,170,7,12,2,10,9
chicken sakad chicken creations,70,400,9,4,1,4,1
sargento balanced breaks (pepper jack),170,180,7,11,1,10,8
firehouse hook & ladder - salad,260,940,30,21,5,16,12
tyson anytizers boneless buffalo chicken bites (2L),180,920,12,12,0,12,1
cherry devils bourbon (1.5 oz DR + 3 luxardo cherries),150,0,0,10,0,10,10
"turkey melt (bread, 5 slices turkey, cheese, miracle whip)",215,955,16,18,2,16,6
firehouse hook & ladder - Small,360,1100,18,32,2,30,8
chicken quesadilla <frozen>,270,690,16,25,1,24,0
cup of brown beans,110,0,6,17,7,10,0
2% milk (1 cup),120,120,8,11,0,11,11
kiihne trad german barrel sauerkraut,20,440,1,4,2,2,1
tostitos chunky salsa / medium (2 Tbsp),10,250,0,2,1,1,1
men's one a day multi vitamin,7.5,0,0,1.5,0,1.5,1.5
jicama spears (4 pieces),49,0,1,12.4,7,5.4,2.5
amy's enchilada verde,390,880,15,51,7,44,6
nestle drumstick chocolate,280,110,3,38,2,36,27
nestle drumstick chocolate w fudge,300,110,3,41,2,39,29
cup of coffee,15,10,0,2,0,2,0
cup of green beans,43,0,2.4,9.9,4,5.9,1.9
nestle drumstick white chocolate w fudge,290,100,2,41,1,40,29
chobani greek yogurt / black cherry,120,70,11,17,0,17,15
family baker's whole wheat bread slices ,70,130,3,12,2,10,2
chocolate chip cookie,50,0,1,8,0,8,4
chewable 500mg C,10,0,0,2,0,2,1
pace chunky salsa / mild (2 Tbsp),10,230,0,3,1,2,2
banana ,72,0,1,18.5,2.1,16.4,9.9
california mandarins,47,0,1,12,1,11,11
soft peppermint candy,20,3,0,5,0,5,5
coke zero,0,40,0,0,0,0,0
